A,B,y_pred,y_scores
cortelcophone,cortelcophone,cortelcophone,0.9999965429000001
cortelcophone,cyberpowerups,cortelcophone,0.9999992847
cortelcophone,dellmonitor,cortelcophone,0.9999992847
cortelcophone,delloptiplex,cortelcophone,0.9999977350000001
cortelcophone,dellxps,cortelcophone,0.9999974966
cortelcophone,fluorescentlights,cortelcophone,0.9999948740000001
cortelcophone,hplaserjet,cortelcophone,0.9999996424
cortelcophone,hpzbook,cortelcophone,0.9999972582000001
cortelcophone,lgphone,cortelcophone,0.9999918938000001
cortelcophone,linksysrouter,cortelcophone,0.9999907017
cortelcophone,odroidxu4,cortelcophone,0.9999983311
cortelcophone,polycomvoip,cortelcophone,0.9999856949
cortelcophone,raspberrypi,cortelcophone,0.9999945164
cortelcophone,roku2xs,cortelcophone,0.9999985695
cortelcophone,usrpe310,cortelcophone,0.9999977350000001
cortelcophone,viewsonicmonitor,cortelcophone,0.9999991655
cortelcophone,viziobluray,cortelcophone,0.9999990463
cortelcophone,vtechvsmile,cortelcophone,0.9999997616
cortelcophone,wiiu,cortelcophone,0.9999995232000001
cortelcophone,xboxone,cortelcophone,0.9999980927000001
cyberpowerups,cortelcophone,cyberpowerups,0.9999994040000001
cyberpowerups,cyberpowerups,cyberpowerups,0.9999972582000001
cyberpowerups,dellmonitor,cyberpowerups,0.9999989271
cyberpowerups,delloptiplex,cyberpowerups,0.9999991655
cyberpowerups,dellxps,cyberpowerups,0.9999996424
cyberpowerups,fluorescentlights,cyberpowerups,0.9999963045
cyberpowerups,hplaserjet,cyberpowerups,0.9999991655
cyberpowerups,hpzbook,cyberpowerups,0.9999989271
cyberpowerups,lgphone,cyberpowerups,0.9999991655
cyberpowerups,linksysrouter,cyberpowerups,0.9999964237000001
cyberpowerups,odroidxu4,cyberpowerups,0.9999991655
cyberpowerups,polycomvoip,cyberpowerups,0.9999994040000001
cyberpowerups,raspberrypi,cyberpowerups,0.9999995232000001
cyberpowerups,roku2xs,cyberpowerups,0.9999994040000001
cyberpowerups,usrpe310,cyberpowerups,0.9999984503
cyberpowerups,viewsonicmonitor,cyberpowerups,0.9999994040000001
cyberpowerups,viziobluray,cyberpowerups,0.9999985695
cyberpowerups,vtechvsmile,cyberpowerups,0.9999994040000001
cyberpowerups,wiiu,cyberpowerups,0.9999995232000001
cyberpowerups,xboxone,cyberpowerups,0.9999982119
dellmonitor,cortelcophone,dellmonitor,0.9999996424
dellmonitor,cyberpowerups,dellmonitor,0.9999997616
dellmonitor,dellmonitor,dellmonitor,0.9999997616
dellmonitor,delloptiplex,dellmonitor,1.0
dellmonitor,dellxps,dellmonitor,1.0
dellmonitor,fluorescentlights,dellmonitor,1.0
dellmonitor,hplaserjet,dellmonitor,0.9999988079000001
dellmonitor,hpzbook,dellmonitor,0.9999998808
dellmonitor,lgphone,dellmonitor,1.0
dellmonitor,linksysrouter,dellmonitor,0.9999994040000001
dellmonitor,odroidxu4,dellmonitor,0.9999997616
dellmonitor,polycomvoip,dellmonitor,1.0
dellmonitor,raspberrypi,dellmonitor,1.0
dellmonitor,roku2xs,dellmonitor,1.0
dellmonitor,usrpe310,dellmonitor,0.9999998808
dellmonitor,viewsonicmonitor,dellmonitor,1.0
dellmonitor,viziobluray,dellmonitor,1.0
dellmonitor,vtechvsmile,dellmonitor,1.0
dellmonitor,wiiu,dellmonitor,1.0
dellmonitor,xboxone,dellmonitor,1.0
delloptiplex,cortelcophone,delloptiplex,1.0
delloptiplex,cyberpowerups,delloptiplex,1.0
delloptiplex,dellmonitor,delloptiplex,1.0
delloptiplex,delloptiplex,delloptiplex,0.9999855757
delloptiplex,dellxps,delloptiplex,0.9999922514
delloptiplex,fluorescentlights,delloptiplex,1.0
delloptiplex,hplaserjet,delloptiplex,0.9999938011
delloptiplex,hpzbook,delloptiplex,1.0
delloptiplex,lgphone,delloptiplex,0.9999967813
delloptiplex,linksysrouter,delloptiplex,0.9999811649
delloptiplex,odroidxu4,delloptiplex,0.99999547
delloptiplex,polycomvoip,delloptiplex,1.0
delloptiplex,raspberrypi,delloptiplex,1.0
delloptiplex,roku2xs,delloptiplex,1.0
delloptiplex,usrpe310,delloptiplex,1.0
delloptiplex,viewsonicmonitor,delloptiplex,1.0
delloptiplex,viziobluray,delloptiplex,0.9999898672
delloptiplex,vtechvsmile,delloptiplex,0.9999774694
delloptiplex,wiiu,delloptiplex,0.9999978542000001
delloptiplex,xboxone,delloptiplex,0.9999998808
dellxps,cortelcophone,dellxps,1.0
dellxps,cyberpowerups,dellxps,1.0
dellxps,dellmonitor,dellxps,1.0
dellxps,delloptiplex,dellxps,1.0
dellxps,dellxps,dellxps,1.0
dellxps,fluorescentlights,dellxps,1.0
dellxps,hplaserjet,dellxps,1.0
dellxps,hpzbook,dellxps,1.0
dellxps,lgphone,dellxps,1.0
dellxps,linksysrouter,dellxps,1.0
dellxps,odroidxu4,dellxps,1.0
dellxps,polycomvoip,dellxps,1.0
dellxps,raspberrypi,dellxps,1.0
dellxps,roku2xs,dellxps,1.0
dellxps,usrpe310,dellxps,1.0
dellxps,viewsonicmonitor,dellxps,1.0
dellxps,viziobluray,dellxps,1.0
dellxps,vtechvsmile,dellxps,1.0
dellxps,wiiu,dellxps,1.0
dellxps,xboxone,dellxps,1.0
fluorescentlights,cortelcophone,cortelcophone,0.9906750321000001
fluorescentlights,cyberpowerups,cortelcophone,0.9997752309000001
fluorescentlights,dellmonitor,cortelcophone,0.9939877987000001
fluorescentlights,delloptiplex,cortelcophone,0.9958574176
fluorescentlights,dellxps,cortelcophone,0.9851925373
fluorescentlights,fluorescentlights,cortelcophone,0.9995909333
fluorescentlights,hplaserjet,cortelcophone,0.9901868105
fluorescentlights,hpzbook,cortelcophone,0.9989821315
fluorescentlights,lgphone,cortelcophone,0.9981974959000001
fluorescentlights,linksysrouter,cortelcophone,0.9955150485
fluorescentlights,odroidxu4,cortelcophone,0.9979140162000001
fluorescentlights,polycomvoip,cortelcophone,0.9981414080000001
fluorescentlights,raspberrypi,cortelcophone,0.9997045398000001
fluorescentlights,roku2xs,cortelcophone,0.9937281609
fluorescentlights,usrpe310,cortelcophone,0.9985857010000001
fluorescentlights,viewsonicmonitor,cortelcophone,0.9994718432
fluorescentlights,viziobluray,cortelcophone,0.9984093308
fluorescentlights,vtechvsmile,cortelcophone,0.9997813106000001
fluorescentlights,wiiu,cortelcophone,0.9934329987
fluorescentlights,xboxone,cortelcophone,0.9997679591
hplaserjet,cortelcophone,hplaserjet,1.0
hplaserjet,cyberpowerups,hplaserjet,0.9999998808
hplaserjet,dellmonitor,hplaserjet,1.0
hplaserjet,delloptiplex,hplaserjet,0.9999998808
hplaserjet,dellxps,hplaserjet,0.9999997616
hplaserjet,fluorescentlights,hplaserjet,1.0
hplaserjet,hplaserjet,hplaserjet,0.9999998808
hplaserjet,hpzbook,hplaserjet,1.0
hplaserjet,lgphone,hplaserjet,1.0
hplaserjet,linksysrouter,hplaserjet,0.9999998808
hplaserjet,odroidxu4,hplaserjet,1.0
hplaserjet,polycomvoip,hplaserjet,0.9999998808
hplaserjet,raspberrypi,hplaserjet,0.9999998808
hplaserjet,roku2xs,hplaserjet,1.0
hplaserjet,usrpe310,hplaserjet,0.9999998808
hplaserjet,viewsonicmonitor,hplaserjet,1.0
hplaserjet,viziobluray,hplaserjet,0.9999998808
hplaserjet,vtechvsmile,hplaserjet,0.9999997616
hplaserjet,wiiu,hplaserjet,0.9999998808
hplaserjet,xboxone,hplaserjet,1.0
hpzbook,cortelcophone,hpzbook,0.9999995232000001
hpzbook,cyberpowerups,hpzbook,0.9999918938000001
hpzbook,dellmonitor,hpzbook,0.9999984503
hpzbook,delloptiplex,hpzbook,0.9999996424
hpzbook,dellxps,hpzbook,0.9999997616
hpzbook,fluorescentlights,hpzbook,0.9999991655
hpzbook,hplaserjet,hpzbook,0.9999971390000001
hpzbook,hpzbook,hpzbook,0.9999998808
hpzbook,lgphone,hpzbook,0.9999994040000001
hpzbook,linksysrouter,hpzbook,0.9999961853
hpzbook,odroidxu4,hpzbook,0.9999955893
hpzbook,polycomvoip,hpzbook,0.9999989271
hpzbook,raspberrypi,hpzbook,0.9999992847
hpzbook,roku2xs,hpzbook,0.9999995232000001
hpzbook,usrpe310,hpzbook,0.9999977350000001
hpzbook,viewsonicmonitor,hpzbook,0.9999994040000001
hpzbook,viziobluray,hpzbook,0.9999998808
hpzbook,vtechvsmile,hpzbook,0.9999997616
hpzbook,wiiu,hpzbook,0.9999986887000001
hpzbook,xboxone,hpzbook,0.9999992847
lgphone,cortelcophone,vtechvsmile,0.9822001457
lgphone,cyberpowerups,vtechvsmile,0.6086909771
lgphone,dellmonitor,cortelcophone,0.579638958
lgphone,delloptiplex,vtechvsmile,0.9927368164
lgphone,dellxps,vtechvsmile,0.6427437663000001
lgphone,fluorescentlights,vtechvsmile,0.9510356188
lgphone,hplaserjet,vtechvsmile,0.9784951806000001
lgphone,hpzbook,vtechvsmile,0.9893084764000001
lgphone,lgphone,vtechvsmile,0.9851685762000001
lgphone,linksysrouter,vtechvsmile,0.7510039806000001
lgphone,odroidxu4,vtechvsmile,0.9941573143
lgphone,polycomvoip,cortelcophone,0.6324806809
lgphone,raspberrypi,vtechvsmile,0.7574468255
lgphone,roku2xs,vtechvsmile,0.8710511923
lgphone,usrpe310,vtechvsmile,0.9843307137
lgphone,viewsonicmonitor,vtechvsmile,0.8780981898
lgphone,viziobluray,vtechvsmile,0.9889312983
lgphone,vtechvsmile,vtechvsmile,0.9607567191
lgphone,wiiu,vtechvsmile,0.9705699682000001
lgphone,xboxone,vtechvsmile,0.8324686885
linksysrouter,cortelcophone,linksysrouter,0.9999996424
linksysrouter,cyberpowerups,linksysrouter,0.9999996424
linksysrouter,dellmonitor,linksysrouter,0.9999995232000001
linksysrouter,delloptiplex,linksysrouter,0.9999991655
linksysrouter,dellxps,linksysrouter,1.0
